Spanning Tree Edges
r10.millennium.berkeley.edu:23053, r16.millennium.berkeley.edu:23007, 7, 2007-Dec-14, 02:59:15.013103
r10.millennium.berkeley.edu:23053, r16.millennium.berkeley.edu:23007, 52, 2007-Dec-14, 02:59:15.014711
r10.millennium.berkeley.edu:23053, r16.millennium.berkeley.edu:23007, 53, 2007-Dec-14, 02:59:15.016593
r10.millennium.berkeley.edu:23053, r16.millennium.berkeley.edu:23007, 2, 2007-Dec-14, 02:59:15.017699
r10.millennium.berkeley.edu:23053, r16.millennium.berkeley.edu:23007, 3, 2007-Dec-14, 02:59:15.018667
r10.millennium.berkeley.edu:23053, r16.millennium.berkeley.edu:23007, 8, 2007-Dec-14, 02:59:15.01946
r10.millennium.berkeley.edu:23053, r16.millennium.berkeley.edu:23007, 13, 2007-Dec-14, 02:59:15.020255
r10.millennium.berkeley.edu:23053, r16.millennium.berkeley.edu:23007, 16, 2007-Dec-14, 02:59:15.021049
r10.millennium.berkeley.edu:23053, r16.millennium.berkeley.edu:23007, 14, 2007-Dec-14, 02:59:15.021842
r10.millennium.berkeley.edu:23053, r16.millennium.berkeley.edu:23007, 15, 2007-Dec-14, 02:59:15.022635
r10.millennium.berkeley.edu:23053, r16.millennium.berkeley.edu:23007, 18, 2007-Dec-14, 02:59:15.023434
r16.millennium.berkeley.edu:23007, r10.millennium.berkeley.edu:23053, 53, 2007-Dec-14, 02:58:48.010848
r16.millennium.berkeley.edu:23007, r10.millennium.berkeley.edu:23053, 54, 2007-Dec-14, 02:58:48.012223
r16.millennium.berkeley.edu:23007, r9.millennium.berkeley.edu:23052, 52, 2007-Dec-14, 02:58:48.011253
r16.millennium.berkeley.edu:23007, r9.millennium.berkeley.edu:23052, 53, 2007-Dec-14, 02:58:48.012643
r16.millennium.berkeley.edu:23007, r18.millennium.berkeley.edu:23009, 2, 2007-Dec-14, 02:58:50.537272
r16.millennium.berkeley.edu:23007, r18.millennium.berkeley.edu:23009, 3, 2007-Dec-14, 02:58:51.526608
r16.millennium.berkeley.edu:23007, r18.millennium.berkeley.edu:23009, 8, 2007-Dec-14, 02:58:52.394775
r16.millennium.berkeley.edu:23007, r18.millennium.berkeley.edu:23009, 13, 2007-Dec-14, 02:58:52.55388
r16.millennium.berkeley.edu:23007, r18.millennium.berkeley.edu:23009, 16, 2007-Dec-14, 02:58:53.190565
r16.millennium.berkeley.edu:23007, r18.millennium.berkeley.edu:23009, 14, 2007-Dec-14, 02:58:53.271458
r16.millennium.berkeley.edu:23007, r18.millennium.berkeley.edu:23009, 15, 2007-Dec-14, 02:58:53.332906
r9.millennium.berkeley.edu:23052, r16.millennium.berkeley.edu:23007, 7, 2007-Dec-14, 02:59:14.764956
r16.millennium.berkeley.edu:23007, r18.millennium.berkeley.edu:23009, 18, 2007-Dec-14, 02:58:53.356644
r9.millennium.berkeley.edu:23052, r16.millennium.berkeley.edu:23007, 53, 2007-Dec-14, 02:59:14.766264
r9.millennium.berkeley.edu:23052, r16.millennium.berkeley.edu:23007, 54, 2007-Dec-14, 02:59:14.768148
r9.millennium.berkeley.edu:23052, r16.millennium.berkeley.edu:23007, 2, 2007-Dec-14, 02:59:14.769592
r9.millennium.berkeley.edu:23052, r16.millennium.berkeley.edu:23007, 3, 2007-Dec-14, 02:59:14.770563
r9.millennium.berkeley.edu:23052, r16.millennium.berkeley.edu:23007, 8, 2007-Dec-14, 02:59:14.771356
r9.millennium.berkeley.edu:23052, r16.millennium.berkeley.edu:23007, 13, 2007-Dec-14, 02:59:14.772148
r9.millennium.berkeley.edu:23052, r16.millennium.berkeley.edu:23007, 16, 2007-Dec-14, 02:59:14.77294
r9.millennium.berkeley.edu:23052, r16.millennium.berkeley.edu:23007, 14, 2007-Dec-14, 02:59:14.773736
r9.millennium.berkeley.edu:23052, r16.millennium.berkeley.edu:23007, 15, 2007-Dec-14, 02:59:14.774531
r9.millennium.berkeley.edu:23052, r16.millennium.berkeley.edu:23007, 18, 2007-Dec-14, 02:59:14.775328
r15.millennium.berkeley.edu:23032, r12.millennium.berkeley.edu:23003, 32, 2007-Dec-14, 02:59:09.977903
r15.millennium.berkeley.edu:23032, r12.millennium.berkeley.edu:23003, 33, 2007-Dec-14, 02:59:09.981963
r15.millennium.berkeley.edu:23032, r12.millennium.berkeley.edu:23003, 34, 2007-Dec-14, 02:59:09.984352
r15.millennium.berkeley.edu:23032, r12.millennium.berkeley.edu:23003, 8, 2007-Dec-14, 02:59:09.98645
r15.millennium.berkeley.edu:23032, r12.millennium.berkeley.edu:23003, 54, 2007-Dec-14, 02:59:09.993313
r15.millennium.berkeley.edu:23032, r12.millennium.berkeley.edu:23003, 52, 2007-Dec-14, 02:59:09.995025
r15.millennium.berkeley.edu:23032, r12.millennium.berkeley.edu:23003, 53, 2007-Dec-14, 02:59:09.996741
r15.millennium.berkeley.edu:23032, r12.millennium.berkeley.edu:23003, 16, 2007-Dec-14, 02:59:09.998456
r15.millennium.berkeley.edu:23032, r12.millennium.berkeley.edu:23003, 14, 2007-Dec-14, 02:59:10.000175
r15.millennium.berkeley.edu:23032, r12.millennium.berkeley.edu:23003, 15, 2007-Dec-14, 02:59:10.001887
r15.millennium.berkeley.edu:23032, r12.millennium.berkeley.edu:23003, 18, 2007-Dec-14, 02:59:10.003604
